"Month","BEV","PHEV","HEV","TotalLDV","PEV","share"
"Dec-10",19,326,"28,592",1144840,345,0.000301352154012788
"Jan-11",103,321,"19,540",819938,424,0.000517112269464277
"Feb-11",83,281,"23,306",993535,364,0.000366368572823303
"Mar-11",298,608,"34,533",1246668,906,0.000726737190655411
"Apr-11",573,493,"25,602",1157928,1066,0.000920609917024202
"May-11",1150,481,"17,419",1061841,1631,0.00153601151208138
"Jun-11",1708,561,"12,655",1053414,2269,0.0021539489697308
"Jul-11",932,125,"19,621",1059730,1057,0.00099742387211837
"Aug-11",1363,302,"21,181",1072379,1665,0.00155262272013906
"Sep-11",1031,723,"17,625",1053761,1754,0.00166451405963971
"Oct-11",866,1108,"20,057",1021185,1974,0.00193304837027571
"Nov-11",773,1139,"26,110",994786,1912,0.00192202141968222
"Dec-11",1212,1529,"31,100",1243784,2741,0.00220375885201932
"Jan-12",824,603,"21,779",913284,1427,0.00156249315656466
"Feb-12",639,1023,"36,222",1149432,1662,0.00144593155575971
"Mar-12",961,3200,"48,206",1404623,4161,0.00296236071885481
"Apr-12",479,3116,"39,901",1184567,3595,0.00303486421620727
"May-12",612,2766,"37,184",1334642,3378,0.00253101580798446
"Jun-12",863,2455,"34,558",1285499,3318,0.00258109885733089
"Jul-12",479,2537,"31,611",1153759,3016,0.00261406411564287
"Aug-12",866,3878,"38,369",1285292,4744,0.00369099006295846
"Sep-12",1306,4503,"34,836",1188899,5809,0.0048860332122409
"Oct-12",2240,4994,"33,290",1092294,7234,0.0066227590740222
"Nov-12",2614,4544,"35,002",1143916,7158,0.00625745247028628
"Dec-12",2704,4965,"43,690",1356070,7669,0.00565531277883885
"Jan-13",2372,2354,"34,611",1043238,4726,0.00453012639493577
"Feb-13",2666,2789,"40,173",1192299,5455,0.00457519464496741
"Mar-13",4553,3079,"46,327",1453038,7632,0.00525244350113349
"Apr-13",4403,2735,"42,804",1285446,7138,0.00555293649052547
"May-13",4545,3209,"48,796",1443311,7754,0.00537236950317707
"Jun-13",4573,4169,"44,924",1403121,8742,0.00623039638064002
"Jul-13",3943,3499,"45,494",1313844,7442,0.00566429500001522
"Aug-13",4956,6407,"53,020",1501294,11363,0.0075688039784346
"Sep-13",3650,4477,"33,576",1137206,8127,0.00714646247030002
"Oct-13",3733,6367,"33,570",1206182,10100,0.00837352903624826
"Nov-13",3930,4903,"36,085",1243852,8833,0.00710132716754083
"Dec-13",4770,5020,"36,155",1358734,9790,0.00720523663940109
"Jan-14",2971,2934,"27,555",1011187,5905,0.00583967159387927
"Feb-14",3324,3721,"30,561",1192467,7045,0.00590792030303564
"Mar-14",4578,4594,"43,790",1537270,9172,0.00596642099305912
"Apr-14",4187,4718,"39,430",1391303,8905,0.00640047495046011
"May-14",5802,6651,"52,227",1609678,12453,0.00773632987467059
"Jun-14",4982,6511,"39,225",1421963,11493,0.00808248878486993
"Jul-14",5693,5740,"44,488",1435805,11433,0.00796278046113504
"Aug-14",6483,5920,"48,208",1586374,12403,0.00781845895104181
"Sep-14",5983,3357,"31,385",1245786,9340,0.00749727481284908
"Oct-14",5927,3735,"30,892",1281132,9662,0.00754176774914685
"Nov-14",6176,3609,"31,109",1302655,9785,0.00751158211498824
"Dec-14",7419,3867,"33,302",1507928,11286,0.00748444222801089
"Jan-15",3977,2113,"25,312",1152480,6090,0.00528425655976676
"Feb-15",4435,2589,"27,038",1258570,7024,0.0055809370952748
